Name;Date;Amount;Category;Notes
Gertrude Upton;7-25-2023;9295,59;OFFICE; Apud vitiosus caterva condico ars aureus creator supellex. 
Virgil Braun;9-18-2023;884,07;Travel;VESICA VILITAS TRACTO TENAX DEFLEO SUBLIME EXERCITATIONEM CUPIDITATE CONSIDERO DAMNO.
KARL HARRIS;2023-09-26;5360.59;TRAVEL;Tantillus alter tabula aeneus bonus accusator suffragium somnus.
Santiago Halvorson;5-11-2023; 7340.31 ; Travel ; APTUS CETERA SUBSECO. 
Cary Leannon;7/10/2023;1668,41;Other; sollicito unde vigor. 
Lawrence Franey MD;23/8/2023;1717.27;Health;Deprimo tonsor peior.
jenny miller;3-3-2023;984.40;health;Ea tergo consectetur utrimque non argumentum fuga tredecim.
Kristi Rolfson;2023-02-03; 5711.16 ;Other;Tui suus ea certus una teneo collum caterva tondeo.
Roberta Jakubowski-Thompson;8-8-2023;9406.39;Other;ante vulticulus curso depraedor damno comitatus ceno surgo.
Dr. Tonya Dickens;23/6/2023;8624,03;Travel;Abscido demitto custodia ventus bos vis nobis.
Cameron Kassulke;2023-05-04;5413.71;Health;Cognatus cenaculum verbum arcesso aptus vir quis.
Arnold Lubowitz;8-31-2023; 3978,33 ; Travel ;COMPONO TEMPLUM DEMONSTRO AVERTO.
Dan Kub-Prosacco;10-9-2023;8706.57;OTHER;TEREBRO SUPER CONTIGO CONOR MOLESTIAE APERIAM SOLUM.
Glen Prosacco-Bergnaum;2023-04-13; 8232.19 ;Other;quia utrum curatio vomer temptatio arguo tergiversatio acervus utilis at.
Emma Mayer Sr.;29/4/2023;9329.81;Food;Quas coepi amaritudo voluptatem chirographum vacuus temporibus succurro nisi.
  BRENDAN STOLTENBERG  ;3-21-2023;6373.94; Office ;baiulus coepi theatrum civis adflicto.
Dr. Mindy Blick;26/6/2023;8466.04;OTHER; Consequuntur approbo accommodo sursum vito vespillo amplus. 
Elijah Beatty IV;19/2/2023;3027.18;Other;Tumultus ait temeritas autus utor.
JONATHAN COLLIER;2/11/2023;2951.49; Other ; SUFFRAGIUM ATTONBITUS AGGREDIOR ACERBITAS. 
Holly Robel;11-2-2023;9985,12; Other ; avaritia amiculum dolor aliqua. 
MISS PENNY ZIEMANN;2023-06-18;8482.51;HEALTH;Stella porro cibus cotidie.
damon heidenreich;17/11/2023;7902.96;OFFICE;COMITATUS AVEHO DELUDO STABILIS DEFENDO.
Roland Cruickshank;11-5-2023;7503.62; Food ;Dedico velociter curiositas sto perferendis desino deludo timidus tabesco.
iris pouros;2023-03-21;7504.48;Other;Vis numquam peccatus.
DIANNE BLOCK;27/3/2023;6219.94; travel ;repudiandae degenero labore vomer appono vulariter tonsor.
Herbert Schinner;2023-05-25; 6126.62 ;OTHER; TRES TABELLA UNDIQUE DEPROMO VALENS. 
Freddie Fay;8-15-2023; 7057.49 ;Office;Tantillus defaeco calco abeo voco avarus contabesco attero uxor.
EBONY BREITENBERG;15/12/2023;2825.32;Food;Pecto arcesso delibero.
  Oliver Lueilwitz  ;15/10/2023;6920,72; health ;Brevis considero solutio claustrum admitto totam defungo torqueo.
tonya jast;27/8/2023;5152.72;Health; Urbanus aperte pecco cupiditas creta curto substantia. 
  Miss Robin Stiedemann  ;1-6-2023;9803.97; Other ;Placeat autus adinventitias sto tenetur cauda vulgivagus agnitio deleniti.
Winifred Schamberger;19/11/2023; 6259.25 ;food;Timor desidero perferendis vestrum suscipit tabella amor videlicet cubitum.
  Mack Vandervort  ;2023-05-02;39.40;Office;Ustulo bene vulgus amplitudo ex ascit custodia.
Jordan Swaniawski I;4-22-2023; 9381,33 ;TRAVEL;Sponte comminor conturbo.
Susan Schaden;1-16-2023;2002.70;Office;ACCUSAMUS CLARO CAMPANA VIRGO VELUM.
Carlos D'Amore DVM;2023-07-13;4899.71;OTHER;Enim trans communis accusamus ut sunt varietas ciminatio ab.
Barry Schmidt;11-26-2023;5994.57;Food;Ipsam tersus caveo nihil suggero subvenio corona.
  JACQUELINE WISOZK  ;2023-03-25;5653,85;Other;Soleo paens sophismata conatus alii.
THERESA KIEHN;8-5-2023;5949.65;Office;VAE VENTOSUS TANTILLUS.
  Dr. Candace Bergnaum  ;2023-01-17;8704.53; Food ;Trepide cometes velum.
Rose Romaguera;9-26-2023;1818,46;Other;depulso absconditus accedo summopere ustilo.
Miss Gwen Rau;11/6/2023;9587.77; Other ;CICUTA TEXTUS QUI CELEBRER THALASSINUS.
VERNON CHRISTIANSEN;2023-02-23;3661,82;travel;agnitio vobis creator tamdiu quidem terminatio atqui crebro.
Danny Considine;1-15-2023;1639.70;Food; Valeo absconditus civitas libero audacia delectatio denique utor aequitas. 
  Janis Veum  ;22/12/2023; 9766,42 ; Other ;sordeo aut veritatis aspernatur amoveo.
shannon haley;23/2/2023;6841.13;Office;Vulpes comis curatio cometes ustulo voluptatibus auditor.
kerry nienow;1-16-2023;7001.53; Office ;Caterva considero debeo.
  Lorene Quitzon  ;9-12-2023;952.88;TRAVEL;Strenuus alii arbitro attero aggero commodo pax aggredior conicio.
miss maureen toy;19/4/2023;4931,70;other;Abundans adhaero atque combibo titulus defleo auctus coadunatio vinculum tandem.
Carole Langosh;2023-10-08;5038.50;Office;Animus urbs turbo adflicto deprimo thesis adipisci.
  Stuart Fadel  ;10-3-2023;1665,18;Travel;Occaecati repudiandae sono venia videlicet stillicidium uter tubineus.
Amber Daugherty;2023-07-24;4140.65;Travel;Adamo perferendis territo culpa averto bis.
  Lucille Barton  ;9-6-2023;9316,48;Other;Thymbra repellat quo vicissitudo campana assumenda arca sumptus.
Dewey Lindgren;2023-03-21; 8134.83 ; health ;Adficio paulatim vinum illum cuius.
Jessie Leannon-Grimes;5-27-2023;919.22;Food;Decimus caterva repudiandae ademptio vesica cogo cultellus.
PETE GISLASON PHD;6-12-2023;6079.65; Office ; Autem articulus tabula alienus tollo natus cubicularis adduco. 
jan runolfsson;27/9/2023; 4916.94 ;FOOD;Deprecator veritatis terminatio quo turpis.
Dr. Nicole Thompson;1-17-2023;6968.60;Food; Labore aequus viridis. 
Mrs. Toni Treutel;12-25-2023;541.94;HEALTH;Angulus suffragium thesaurus suus caute amplus quibusdam succedo aperiam.
clarence murazik-gottlieb;7-26-2023;5721.78;OFFICE;INFIT CORPUS FUGIAT VITIOSUS DECENS CITO AUDENTIA.
  candace stiedemann  ;4-12-2023;3281,56;Travel;Vitae temporibus congregatio umquam vallum utpote.
Holly Grady;9/9/2023;3539.09;HEALTH;Armarium arcus triumphus ustulo viridis.
LETICIA BRADTKE;10-9-2023;9288.28;HEALTH;Placeat arbustum numquam nemo laudantium cultura torqueo advenio quam.
Susan Bednar;29/5/2023;7960,80;Travel;VACUUS CULPA VALIDUS VACUUS AT DEPOPULO DOLORES DEPEREO MODI PAULATIM.
DORIS LESCH;4-11-2023; 6587.07 ;Food; illo angelus officiis truculenter alienus veniam. 
Norma Murphy;9-14-2023; 2681.89 ;Food;cariosus tamquam doloribus volva cunabula sollicito vere pel patrocinor.
Marsha Greenfelder I;8-5-2023; 5059.73 ;Office;repellat varius viriliter defluo necessitatibus tolero.
  Angie Beahan  ;29/4/2023;5373.80;food;Totam ustilo astrum textor pecus accusantium.
Winifred Bradtke;2023-09-10;325.18;health;Supellex necessitatibus clamo vado tamen cuppedia cuius acies.
Lana Haag;5/5/2023; 5672.42 ;OTHER; cognomen censura surculus suasoria. 
  DANIEL ANKUNDING  ;8/10/2023;3447.68;office;Spero turpis amoveo subito comes.
  Ian Gutmann  ;2023-06-09;9229,83;Food;In ipsum adficio basium communis vetus possimus conscendo repudiandae.
Lorene Howe;8/7/2023;6058.01;Health;Stultus cupiditate eum vero bellicus id arx antiquus ipsa.
MAE GUTMANN;2023-01-29;858.77;office;Sto demitto vel valens.
april mccullough sr.;2023-12-13;7284.18;Office;Villa nesciunt contabesco veritatis delectus cito ipsum.
  FELIPE FAHEY  ;4-7-2023;8070.54;Office;Alias charisma cunctatio teneo numquam capitulus supplanto.
Marco Graham;2-22-2023; 9819.78 ;Food;Corporis ustilo suppono tergiversatio statua assumenda arcesso spoliatio bellum cunctatio.
MR. DALE LEGROS;1-7-2023;734.01; Office ; ACCUSATOR VIA AUDIO UBERRIME IUSTO CURTUS CANDIDUS DEMENS. 
  inez rolfson  ;2023-07-21;4170.98; FOOD ;Tepidus verbera verecundia caries adstringo id bestia theologus comitatus architecto.
Tim Carroll;3/2/2023;474.42;Office;sufficio adfectus cohaero defendo autus vacuus.
Everett McClure;1/1/2023;4566.24;Travel;Reiciendis damno valens strenuus.
Dr. Paul Swift;2023-08-25;6391.14;Health;Defluo tergiversatio cum carpo accendo minus tenetur facere eveniet.
  Miss Daisy Rosenbaum  ;5/3/2023;8007,69;Health;Aequitas alter aedificium maiores celebrer corroboro veritatis cariosus.
johnny cronin;4-16-2023;9962.65;Travel;SPECTACULUM DIGNISSIMOS CAPTO ADEO CONSPERGO AEGRE.
ms. mamie goyette;1-9-2023;411.45;Food;causa aequitas constans vir voluptatibus valeo acsi sum.
GERALDINE WOLFF;8-12-2023;3832.05; Other ;CERTE ADMINISTRATIO ARANEA ISTE SOMNUS TOLERO VOTUM.
Brian Jerde V;1-28-2023;9631,16;Food; Tardus creator benevolentia sapiente. 
Clifton Streich;9-29-2023; 3675.35 ;Health;depereo ea animus tracto acervus tener conitor aliquam crustulum.
  LISA KIHN  ;2023-10-29;2375.77;Food;Vulgivagus enim arbor caelum corrigo ager.
Samuel Hammes;21/11/2023;6002.06;Other; Videlicet caste unde tempus. 
  Dawn Raynor  ;3-1-2023;8180.70;Office; Recusandae cupiditas crepusculum aestus consequuntur quis adsuesco casus terra. 
Luke Kunze-DuBuque;1/8/2023; 6841,75 ;other;Vulpes barba aequitas admiratio balbus vereor.
Dr. Reginald Schuster;9/4/2023;5265.67;travel;Tenetur stabilis quia celo pecto deludo enim enim ipsa.
Janie Runolfsdottir;3-2-2023;2087.37;food;ADEPTIO DEPORTO TERGO DAPIFER TOTIES.
Catherine Rosenbaum;2023-02-04;2831,79;other;mollitia dignissimos ullus.
Hope Douglas;12-12-2023;8292.03;Office;EVENIET MOLLITIA COLLIGO DIGNISSIMOS CUPIO.
Faith Quitzon;6-5-2023; 5802.92 ;Food;calculus cilicium eum in angulus cubo consequatur curso totidem iusto.
Kendra Terry;2023-08-06;5342.04;office;Aer alias addo aperiam territo magnam capillus circumvenio tolero.
  Warren Quigley  ;11-14-2023;2995.64;Office;Truculenter comprehendo utroque occaecati.
Ricky Skiles;22/6/2023;3289,60; Other ;Testimonium voluptatem supra speculum thesis toties aiunt ater.
dianne stehr md;11-11-2023;2083,36; Travel ;Comprehendo soluta patria.
  Luz Moen  ;19/1/2023;5539.82;HEALTH;Crinis utique veritatis ut.
LEVI LEANNON;21/7/2023; 2382.15 ;Travel;Summa accusamus eos audentia conspergo terminatio.
opal anderson;26/2/2023; 870.94 ;Office;comedo nemo campana vapulus comminor peior adamo utpote arma arcesso.
Ramiro D'Amore;2023-10-17;1009.13;FOOD; aliquid caecus tenus laboriosam subvenio. 
leonard ratke;16/1/2023;7257.24; travel ;Sequi talio voluntarius maxime currus aestivus ager in agnitio.
Deborah Lesch-Kuphal;26/10/2023;1494.81;Travel;Speculum cruciamentum ars.
Mr. Matthew Fisher;11-10-2023; 8124.49 ;TRAVEL; VAE DEMULCEO ODIT ALII VARIUS VULPES SOPOR VETUS. 
  willie abbott  ;14/5/2023;7169.85;Food;Incidunt theatrum capto tribuo caveo victoria cupiditas.
jimmy cole;2-10-2023;4123.10;Food;Quisquam cado cinis cunctatio aufero urbs.
Frank Larkin;9-5-2023; 2563,82 ;OFFICE;Utpote illo tamisium quas avarus nulla beatus cibus.
Paulette Terry-Kreiger;12-12-2023;3666.65;travel; SINT CALCULUS DISTINCTIO TRUCULENTER XIPHIAS CAUDA IUSTO BENIGNE. 
Pam Hyatt;2023-12-11;6677.07;Travel; Quia sollicito temeritas avaritia taedium nihil alo claustrum teres altus. 
Pedro Jast;8-6-2023;982.21; Food ; Veritas coma vero sumo summopere abbas trucido. 
Harvey Denesik;29/6/2023; 1306.45 ;Food;comminor defero asper.
  Douglas Friesen  ;2023-05-13;9010.04;FOOD;VERTO BLANDIOR CENA CONFERO.
Darrell Rogahn DDS;26/12/2023;6490.43;Health;BEATUS VERBERA NOSTRUM QUAE.
Dr. Krystal Padberg;5/9/2023; 5525.53 ;Other;vomito veniam tepidus vomer carus ubi.
Rogelio Ebert;5-20-2023;3432.02;health;COLOR TABESCO SED CRESCO MOLESTIAE SUM.
  Lillian Bednar  ;2023-04-29; 251.50 ;OTHER;ANSER SYNAGOGA INVENTORE.
Leslie McGlynn;14/3/2023;3970.48;office;Quisquam summisse vel.
  Miss Susie Crist  ;6-12-2023;3977,52;OTHER;Tempore ventosus spiritus amplitudo cernuus.
  nichole bechtelar  ;2023-04-29; 7974.67 ; Travel ;INFLAMMATIO ABSCIDO NOSTRUM TOTAM AB TERMES ANTEPONO CONICIO.
Lorene Upton;2023-07-04;7118.58;travel; SODALITAS DESPECTO CARCER ADSIDUE. 
  MARCIA ROBERTS  ;2023-11-20;3937.26;food;Capitulus decumbo laborum copia tutis.
Dianne Kulas;4-29-2023;923.23;Health;Tunc templum debeo cum itaque.
AMANDA GERLACH;2023-04-09;3520.32;Food;Ustulo demo caput vergo perferendis.
  Dorothy Johnston  ;9-2-2023;2150.67;other; Corporis delego textilis peccatus. 
MOLLY KUTCH;7/10/2023;3907.36;Travel;Vicinus temeritas supra quisquam vesper alius.
  Dr. Alejandro Hammes  ;2/7/2023;4863,15;Other;Urbs supellex culpo deripio cauda concido suppono taedium trado virga.
Kristina Fay;3-12-2023;7948.32;office;Asper solum calamitas cito agnitio.
Cornelius Towne;4-21-2023;6397,56; Other ; Tunc ulciscor delinquo trans taedium ulciscor teres. 
Dixie Jakubowski;2023-08-13;1803.24;travel; Arto aequitas beatae. 
  Dr. Roland Quitzon  ;1-12-2023;1961.56;FOOD;Suscipio acquiro pauper volo temeritas tempus crepusculum armarium quia.
Deanna Kihn;7-29-2023;6375.19;travel;Sum spes taceo demoror collum alveus agnosco defessus quod vinculum.
HARRIET EFFERTZ V;27/3/2023;9423,33; Office ; Somnus tamdiu vociferor arceo. 
  Kristy Bashirian  ;9/4/2023;9669,17;Health;DEINDE COMPELLO ADMIRATIO ASPERIORES.
  Lorene McLaughlin  ;2023-01-19;657.97;Other;Caste pectus beneficium barba vir.
Sophie Feil;2023-06-30; 743.50 ;food;thesaurus accendo supplanto ocer trucido.
Wesley Davis;1-1-2023;4624.34; Travel ;Ceno conatus culpa caecus certus tempora cattus.
Kathryn Gutmann;3-12-2023; 2872.78 ;health; Adversus thermae aurum adfero aureus. 
  Naomi Douglas  ;23/4/2023;10,66;Travel;Vulgivagus conturbo vae cohaero vociferor testimonium contigo.
Edith West;11-29-2023;3292,78;Office;conicio ater desipio certus demum atque pectus vito porro.
Geneva Stracke;2023-07-01;5025.56; Office ;Campana vitium adamo utilis cubo.
Teri Conroy;9/6/2023;2739.18; HEALTH ;Vere altus sto tersus facilis aggredior.
Mrs. Samantha Pfannerstill;18/12/2023;7614,14;Travel;Totidem curriculum cavus quam utroque eius defungo.
faith reilly;3-5-2023;202.45;Travel;VOLUPTATES XIPHIAS TENUIS CICUTA ULTRA TYRANNUS SPARGO.
  Archie Schoen  ;9-7-2023;2434.09;Travel; Demo capto animus vinitor voluptatum. 
DOYLE QUITZON;1/1/2023;9090.59;Food;arto coruscus dolores agnitio delego.
beatrice rutherford;2023-09-07;4979.30; OFFICE ;Universe arca vicinus aliquid ascit spectaculum commemoro abeo candidus bibo.
TOM SPENCER;23/10/2023;6071,71;OTHER;VARIETAS AVEHO DELEGO UTRUM DEBILITO SORTITUS IN ACSI.
  VICTORIA ARMSTRONG  ;4/2/2023;7624.15;health;ADAUGEO PAUPER REPELLENDUS VILLA.
Fred Torphy-Luettgen;2023-12-06;6159,84; OTHER ; coaegresco natus facere antepono ater aequitas. 
Delia Parker IV;5-1-2023;4255,37; HEALTH ;Causa ara tenax tenetur defero curvo celer.
JOHNNIE DICKENS;10-12-2023;3737.05;Other;Amet culpa aufero thesaurus ver texo victus.
Vivian Gottlieb;9-9-2023; 2750.25 ;Travel;attero cetera curiositas sordeo aestas clementia campana.
SONJA HALVORSON;3-26-2023;7204,52;OTHER; ABBAS OFFICIA BREVIS SOPOR. 
Santos Turcotte II;22/8/2023;3588.99;travel;Valens speculum vester tertius adstringo.
Darrell Wilderman;2-6-2023;4463.36;Office;sapiente comis summa defendo despecto mollitia.
miss margie dickens;1-25-2023; 4406.90 ;HEALTH;COMMODO VINITOR DEMITTO ALIQUID CREPUSCULUM TALUS IPSA.
  tom tremblay  ;2023-08-24;4103.80; Health ;AMISSIO NEMO PAENS CREPUSCULUM.
  Justin Klocko  ;2023-09-21;2585,95; Health ;Cado tenus antiquus apostolus velum varius.
Gladys Watsica;8-5-2023;5462.52;other;Numquam alo coadunatio dicta.
Mercedes Harvey;2023-12-04;7139,00;TRAVEL;Claustrum una titulus aeger synagoga supellex anser vel agnosco.
ms. claire brown;2023-07-24; 9071.37 ;Other;ULTIO ENIM TERES AER REPELLENDUS ARTO TANTILLUS ANTEPONO DEMONSTRO BIS.
Renee Jakubowski;2023-01-30;9278.86; OTHER ;Explicabo aspernatur desipio turbo textilis chirographum.
Opal Bahringer;8-3-2023;6248.32;Food;Vae spiritus cognatus substantia quo adsuesco.
JOHNNY KOEPP;2-22-2023;8161.60;Health;Truculenter utilis esse adsuesco consectetur ipsa defaeco.
Fernando O'Connell;20/1/2023;6309.34;Travel; Suffoco reprehenderit uberrime astrum ubi adiuvo casso succurro. 
Ronald Grimes;12-27-2023; 9730.04 ;Health; UTRIMQUE TRAHO CRIBRO ALIQUA. 
Cedric Tillman;2023-09-04;7606.10;Other; mollitia turpis consuasor curtus creator torrens civitas. 
  Wm Dibbert  ;1-23-2023; 9193.17 ;TRAVEL;Audeo absens repellendus defetiscor.
Benjamin Little;7/10/2023;9362.28;Food;Sollers contra ab vero aer demonstro asporto uredo ullus.
Steven Blick;5-11-2023;2745,01;Other;compello calculus attonbitus pel delego minima subvenio advenio tego.
MATTHEW ZIEMANN III;23/11/2023;550,14;Food;Labore quidem antiquus.
  dr. david gorczany  ;11-14-2023;2455.39;office;Atrox peccatus curis ceno contabesco nobis voluptates audentia arbitro clibanus.
Sherri Hintz;1-19-2023; 786.25 ;Other;Cultellus truculenter cura solum spero.
  Mercedes Kling DDS  ;2023-10-12;4939.95; Travel ; Similique decet patior optio. 
Pam Kuvalis;3-7-2023;107.53;Travel;vallum cicuta combibo solitudo audio aegrotatio claro capillus dolore.
Lonnie Romaguera;2023-12-06;7387.16;Health;FUGA ANTEA CURTO PECTO.
Jose Abshire DVM;11-20-2023; 4329.76 ;Other;Id corporis voluntarius culpo taedium sono vesica.
Percy Lebsack;9/8/2023; 9329,98 ;HEALTH;DELECTUS BENEVOLENTIA TOT CENSURA QUOS VESPILLO VORO THEATRUM DELEO ULLAM.
eduardo cummerata iv;6/1/2023; 6828.50 ;food;admoneo ancilla modi aegrotatio sustineo aestas.
  dixie murphy  ;30/11/2023;7706.23;Office;Dolorem aurum subvenio assumenda ea angustus deduco delectatio.
  Nadine Miller  ;2023-07-26; 1779,31 ;food;ASSUMENDA CASSO STIPES AVARUS BELLUM TANTILLUS DEPOPULO STELLA TURBA.
Daryl Bergstrom;9-13-2023;8686,44;Travel;Concido asper confugo vinco textus pecus confido undique.
RITA NOLAN;2023-07-25;772.60;Office;BARBA UTER ID UMQUAM SOPHISMATA ISTE ALIQUA CIMINATIO THESAURUS.
Guillermo Bode;2023-04-05; 2655.78 ;health;Tres addo correptius caput.
ERICK TERRY;4-13-2023;8892,03; Office ;at sumptus adicio desparatus solitudo.
Annette Weimann III;2023-10-22;2908.46;other;Bestia volubilis argentum.
ALMA CHAMPLIN;2023-09-28;8292,02;OFFICE;Constans voluptatem avarus tergiversatio vociferor culpo tempore vicinus admitto.
  Clinton Sporer  ;16/4/2023;3524.37;Other;Defungo toties solio quidem inflammatio earum suscipit.
Leslie Kunze MD;21/4/2023;2908.24;Office;Voco cornu ait vito solitudo solum patria attonbitus.
Marguerite Anderson;17/1/2023; 8394.88 ;OTHER;Administratio cruentus eligendi attero adstringo curriculum deputo venia supra thymum.
Freddie Pouros;2023-05-15;2317.38;TRAVEL;Atavus ipsa venio succurro terebro cupiditas.
Lynda Senger;6-2-2023;4580.87;health;Charisma coma ut soleo vorago amplus vigilo corrumpo autus denego.
Cesar Reinger;16/7/2023;3711.55;HEALTH;Suffragium acies avaritia acidus vigilo adulescens.
mr. jackie moen;3-17-2023;5113.73;Health;Vilitas cena tabella pax tremo summisse video circumvenio voluptatibus ut.
Miss Gail Harris;2023-03-25; 730,99 ;Health;Apto vinculum voluptates crustulum quam conventus torqueo consuasor ocer.
Robin DuBuque;31/1/2023;8594.52;Food;TERGO ALIQUAM BIS CERNUUS CRUENTUS VOLUPTATIBUS COMMINOR TANDEM AMITA CREBRO.
Lauren Herzog;2023-11-22;6272.83;Travel;ASTRUM VALETUDO ASSUMENDA EOS ARBUSTUM DEBILITO ARBITRO TUNC IURE.
Orlando Monahan;7-3-2023;7478.58;Food; Denuo cui validus aeternus alius adiuvo colo volva tabella. 
  Ms. Lynne Nolan  ;27/1/2023;2759.05;Food; timidus beatus tamen tergo confido. 
Lamar Smitham;15/9/2023;1073.05;Office;VOMITO USUS SURCULUS CREBRO CONQUEROR.
CASEY BAUMBACH-FRANEY;25/1/2023;2249.57;Other;Canto coniecto velit.
Chester Rohan;4/12/2023; 9933.53 ;Health;nemo vita totam centum.
rufus bartoletti;22/6/2023;5151.06; Health ;EXCEPTURI AMOVEO USTULO DELECTATIO COAEGRESCO FACILIS DECET CEDO SURGO.
donna nikolaus;21/7/2023;8697.00; HEALTH ; pectus vae similique accendo laudantium debeo sumo. 
Cameron Christiansen;2023-07-10;9162.73;food; Testimonium adficio voro amet sophismata a comburo amplitudo conqueror. 
  Angel Shanahan  ;2023-11-02; 7426,76 ;other;Praesentium cruentus vulgus villa cinis confero totam depraedor coepi.
Mathew Stracke;11/6/2023;9653.08;Travel;Deorsum viscus cuppedia demonstro.
Sophie Ebert;10-14-2023;6907,39;Health; Quos talus denego fuga. 
Mr. Pete Donnelly;2-9-2023; 6777,24 ;Other; Adulatio advenio abundans cruentus succedo vilitas atrocitas. 
marcia hilpert iv;2023-11-15;6836.57;health;cito capillus crapula antea audentia.
fred borer;2023-04-09;2459,91;Food;Apud audax sapiente subito denego compello animi deleo auctor.
Dr. Denise Williamson;20/7/2023;1214.48;food;adfectus celebrer apparatus aegre admitto ars tabula appositus substantia.
Elbert McClure;21/12/2023;5200.04;OFFICE;nihil convoco natus talis.
Dr. Courtney Satterfield;2023-10-11;3387,87;Other;Vita vergo deduco ab anser bis usus.
Helen Homenick;10-14-2023; 2223.36 ;Health;Antepono umbra suasoria aspernatur ex textus amoveo.
Simon Parker;1-19-2023;6646.10;Travel;adulatio quae debeo.
rachael treutel;29/3/2023; 2487.26 ;Travel;Convoco suggero apparatus peccatus.
Stanley Gleichner;2023-09-28;5419.46;other;unde esse itaque aggero cibo suppellex solvo delibero ad.
mrs. louise kassulke;2-23-2023;8878.53;TRAVEL;Velum suffoco cenaculum amplus tubineus.
Oliver Boyle;7/3/2023;1419,01; Office ;Hic stips tandem apparatus angustus.
Debra Kihn;4/5/2023;5723.49;TRAVEL; SUBSTANTIA ASCISCO ADDO UNIVERSE VOMITO. 
  Kerry Kessler  ;2-3-2023; 5853.30 ;Health; Coepi bellum sperno bardus vester dedico ustulo. 
BRYANT ORTIZ;20/7/2023; 2743.63 ;Health; DEGERO QUISQUAM UTER ADMOVEO. 
Dean Cummings;6/3/2023;2073.50; Office ;DIGNISSIMOS ADFECTUS TRICESIMUS CUI COMETES VICISSITUDO EVENIET.
Kyle Cassin;10-15-2023; 7690.51 ;Office;Curriculum terminatio cur strenuus adulatio vorago crur triduana.
Heather Lakin;2023-12-21;3882,27;Food; Testimonium eos auctor audio repellendus dedico nesciunt. 
Dr. Henrietta McDermott;2023-04-09;1258.75;Food; Venia balbus stips subiungo consectetur amitto titulus. 
HOLLY VON DVM;11-13-2023;7906.77;Other; verto terebro denique stultus trepide. 
Alma O'Conner;2023-05-21;987,05;Other;Sit thymum stips patria culpa veritatis.
Bridget Champlin;2023-10-03; 9147.17 ;Health; Asper decerno atqui abscido thymbra suffragium caelum casus tabesco. 
dr. alexis heidenreich;2023-01-11;9107.49;Food;Stillicidium canonicus tego cunabula alter.
RAFAEL CONN;2023-04-22;4904,73;Health; Curso vos careo voluptate stella comprehendo. 
RAMIRO FRITSCH;2023-08-30; 1230.35 ;health;VULGO CONOR APERIO SIT DOLOREM TONSOR OFFICIIS TERO STELLA.
joshua schuster md;2023-06-13;739.14;health;distinctio balbus eveniet.
dr. ed hettinger v;7/1/2023;8064.30; Food ;CURIA BOS DELINQUO DEFLEO TUMULTUS VOLUPTATUM CRINIS SPERO.
MIGUEL MAYER;2023-01-19; 3093,64 ;Travel; Color cito claustrum aggero talus. 
  Miss Darlene Senger-Reinger  ;2023-05-15;6238.82;Food;ASPERNATUR AEQUUS ESSE AEDIFICIUM CONVENTUS.
Joel Haley;11-17-2023;7196.24; HEALTH ;spectaculum nostrum claudeo ante voluntarius denego civis curto caute aggero.
cory little;15/1/2023; 8991,22 ;Other;Ait calco ultra perferendis fugit varietas decens varietas suscipio.
Isabel Treutel;11/5/2023;3620.72; Food ;Cribro sub versus velut talio tantum adstringo.
MS. ANTONIA DIBBERT;4/3/2023;7517.67;Other;VERITATIS PERFERENDIS SUMMOPERE VILITAS ALIQUA SPECTACULUM AUCTUS BESTIA VOLUPTATES VULNERO.
Ms. Brandi Nicolas;5-7-2023;6199.24;Other; illo coepi blandior. 
  Hattie Jakubowski Sr.  ;2023-08-13;6965.10;office;Ultra spectaculum curis conventus constans alienus aperte creo.
beth grant;18/2/2023;7249.03;health;Thesaurus suspendo tubineus ipsum suppellex vulariter degero tenetur.
  dr. irving o'keefe  ;7-13-2023;8341.04;Other;COMA AURUM VERECUNDIA SED.
elbert walter;2023-02-15;3226.43;Travel;Atque considero aut illum tardus aranea argumentum sint.
Dr. Israel Schmitt;4-14-2023;2204.62;Travel; tantum contabesco ullus illo placeat. 
Duane Kulas;2/3/2023;1827.47;Travel;PECUS CURO AUREUS DECIPIO CAUTE ALIOQUI ANCILLA AUDITOR.
  Pete Douglas  ;10/10/2023;6852.85;Other;creptio cognatus eum velit accusamus et aro adinventitias ex.
SONJA GRANT;15/2/2023;5021.40; Travel ;Callide corona armarium quia sustineo vulgus ratione tribuo.
Gustavo Bradtke;2023-09-03;4134.31;TRAVEL; Traho tabgo arcus vilitas. 
Wade Swaniawski;8-7-2023;3792.51;Food;CULPO LABORIOSAM THORAX DEFICIO VOCIFEROR CONSUASOR VINUM.
DANNY GLEASON;12-18-2023; 3578.43 ;Office;ABSCIDO COMMODO AMOVEO.
lynne howe;6/3/2023;5687,77;Health; USITAS TEGO CREPUSCULUM BAIULUS OMNIS BASIUM ANIMI SPECULUM SPECIOSUS TERGUM. 
mona hyatt;2023-11-15;8753.20;Other;UTILIS SAEPE COGNATUS TERSUS.
Carrie Fadel;2023-07-01;5346.87;food; Corona capto defendo angelus sponte exercitationem velociter. 
  sarah corwin  ;2023-11-20;4493.40;travel;QUAM VIRILITER ACCUSAMUS CRASTINUS EXPEDITA AEGRE CURSUS ARTIFICIOSE TONDEO.
calvin sawayn;20/6/2023; 633,24 ;HEALTH;Demoror vitae atque.
Evelyn Braun;2023-04-26;5424.41; OFFICE ; Ventus celer averto copia summa collum ut testimonium. 
